"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","827","Create User","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:08:36 GMT 2025","","RestApi.spec.js","",""
"","0","Check the login valid credentials sazidahmednx26@yopmail.com","Google Chrome","Fri Feb 14 18:08:32 GMT 2025","skipped","Fri Feb 14 18:08:32 GMT 2025","","LoginwithMultiple.spec.js","",""
"","5283","test","Google Chrome","Tue Dec 31 10:06:04 GMT 2024","passed","Tue Dec 31 10:06:09 GMT 2024","","firstTest.spec.js","",""
"","26019","Check the login valid credentials","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:01 GMT 2025","","LoginPageTest.spec.js","",""
"","5867","Child window handling another way","Google Chrome","Fri Feb 14 18:09:08 GMT 2025","passed","Fri Feb 14 18:09:14 GMT 2025","","WindowHand.spec.js","",""
"","25869","first test with page fixture","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:01 GMT 2025","","Firsttest.spec.js","",""
"","25975","Add to Cart","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:01 GMT 2025","","DashboardPageTest.spec.js","",""
"","26242","Upload File","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:01 GMT 2025","","Dropdown.spec.js","",""
"","30845","Place Order","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","broken","Fri Feb 14 18:09:06 GMT 2025","","E2Eautomation.spec.js","",""
"","26049","Login with valid credentials","Google Chrome","Fri Feb 14 18:08:36 GMT 2025","failed","Fri Feb 14 18:09:02 GMT 2025","","Uibasics.spec.js","",""
"","27200","Another Login test","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:02 GMT 2025","","Dropdown.spec.js","",""
"","26519","Check the login invalid credentials sazidahmednx21@yopmail.com","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:01 GMT 2025","","LoginwithMultiple.spec.js","",""
"","26949","frame test","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:02 GMT 2025","","Frame.spec.js","",""
"","10747","visual testing","Google Chrome","Tue Dec 31 10:06:48 GMT 2024","passed","Tue Dec 31 10:06:59 GMT 2024","","Visualtest.spec.js","",""
"","27273","Check the login invalid credentials","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:02 GMT 2025","","LoginPageTest.spec.js","",""
"","2","Check the login valid credentials sazidahmednx23@yopmail.com","Google Chrome","Fri Feb 14 18:08:32 GMT 2025","skipped","Fri Feb 14 18:08:32 GMT 2025","","LoginwithMultiple.spec.js","",""
"","888","Update User","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:08:36 GMT 2025","","RestApi.spec.js","",""
"","10445","first test with page fixture","Google Chrome","Tue Dec 31 10:06:07 GMT 2024","passed","Tue Dec 31 10:06:17 GMT 2024","","firstTest.spec.js","",""
"","0","Check the login valid credentials sazidahmednx21@yopmail.com","Google Chrome","Fri Feb 14 18:08:32 GMT 2025","skipped","Fri Feb 14 18:08:32 GMT 2025","","LoginwithMultiple.spec.js","",""
